,Acanthodesmia_micropora,Actinomma_leptoderma_boreale,Antarctissa_denticulata-cyrindrica,Antarctissa_juvenile,Antarctissa_longa-strelkovi,Botryocampe_antarctica,Botryocampe_inflatum-conithorax,Ceratocyrtis_historicosus,Cycladophora_bicornis,Cycladophora_cornutoides,Cycladophora_davisiana,Diatoms,Druppatractus_irregularis-bensoni,Eucyrtidium_spp,Fragments,Larcoids_inner,Lithocampe_furcaspiculata,Lithocampe_platycephala,Lithomelissa_setosa-borealis,Lophophana_spp,Other_Nassellaria,Other_Spumellaria,Phormospyris_stabilis_antarctica,Phortycium_clevei-pylonium,Plectacantha_oikiskos,Pseudodictyophimus_gracilipes,Sethoconus_tablatus,Siphocampe_arachnea_group,Spongodiscus,Spongurus_pylomaticus,Sylodictya_spp,Zygocircus
Acanthodesmia_micropora,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Actinomma_leptoderma_boreale,0,9,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
Antarctissa_denticulata-cyrindrica,0,0,39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
Antarctissa_juvenile,0,0,0,114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antarctissa_longa-strelkovi,0,0,1,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
Botryocampe_antarctica,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botryocampe_inflatum-conithorax,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ceratocyrtis_historicosus,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cycladophora_bicornis,0,0,0,0,0,0,0,0,49,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Cycladophora_cornutoides,0,0,0,0,0,0,0,0,0,32,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cycladophora_davisiana,0,0,0,0,1,0,0,0,11,37,1591,0,0,0,2,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0
Diatoms,0,0,0,0,0,0,0,0,0,0,0,1796,0,0,52,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0
Druppatractus_irregularis-bensoni,0,2,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Eucyrtidium_spp,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Fragments,4,1,0,1,2,5,2,0,4,2,5,123,2,1,3999,22,0,0,5,18,21,4,1,2,15,3,1,0,28,11,2,2
Larcoids_inner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
Lithocampe_furcaspiculata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithocampe_platycephala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lithomelissa_setosa-borealis,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,49,2,3,0,0,0,0,1,0,0,0,0,0,0
Lophophana_spp,0,0,1,0,8,0,0,0,0,0,1,0,0,0,0,0,0,0,3,28,0,0,0,0,0,0,0,0,0,0,0,0
Other_Nassellaria,1,0,0,0,0,1,1,0,3,1,0,0,0,0,2,1,0,0,0,2,16,0,0,0,0,2,2,0,0,0,0,0
